Name,Title,Location,Career,Education,HomepageURL
이에이트(주),"해석엔진개발(프론트엔드 Javascript, Typescript/백엔드 Golang)",서울전체,경력 3~10년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OElPTVpmV0pLL0ZtVkl3RU5Cc3lkZz09
(주)와탭랩스,백엔드 에이전트 개발자(Golang),서울  서초구,경력 3~12년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RC8wc2lnN1BMUytOaFVhbjliSTM3dz09
(주)와탭랩스,주니어 데브옵스 엔지니어(DevOps Engineer),서울  서초구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RC8wc2lnN1BMUytOaFVhbjliSTM3dz09
(주)게임테일즈,[정규직] 게임서버 개발자 채용,서울  구로구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=M1dUUTl2QndWYVZCbHYrc254eFN1QT09
(주)레이,[판교]  SW개발 및 유지보수 ( C / C++ / Golang ),경기  성남시 분당구,경력 3~5년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=eU9jeHJhaXcyVU05RnE2UXllSmVJdz09
(주)위메이드,NILE 컨트랙트 개발자,경기전체,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=Rkt1ejR6ZE10azN4QUJTNUJBbUxoQT09
(주)엔디소프트,[NDSOFT] 2023년도 상반기 개발자 채용(서울근무),서울  강남구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NFQrYk5na044QzNkWDFSYXE4SWIxdz09
(주)다우기술,2023년 하반기 경력·신입 대규모 인재영입,서울  마포구,신입·경력,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=VTRZYnpWSWNxWlM4NVNoWGtFU2NOUT09
(주)올림플래닛,백엔드 개발,서울  강남구,경력 4~7년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=c3pkSFQ4RXc4QzZqdDJydmpMR0VXUT09
(주)에이펙스이에스씨,S/W 경력 개발자 채용(프론트엔드/백엔드),서울  강남구,경력 2~7년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NkVXRnFJT2lnR1NyWU4zWnBDQytwZz09
트리노드 주식회사,[부산/경력 1년 이상] 포코팡 시리즈 - 서버 프로그래머,부산  해운대구,경력1년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=bWRNWG5oY2thdmZRZkN2bGFtN1F4QT09
(주)메일플러그,2023년 하반기 신입 및 경력 공개채용,서울  강남구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekFjMG5lbDB4dHNFQVlNV0Z3S2Vtdz09
(주)쏘마,Security Engineer,경기전체,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=dk5lRk1xY2dtbGZjMm9PMnlTbEtaZz09
가온그룹(주),[가온그룹] Back-end 개발자 채용,경기  성남시 분당구,경력 1~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cFQ1alVYL1I5WlZwNWF4S3dQa3pNUT09
(주)코인플러그,DevOps/노드밸리데이터 구축지원부문 [ES(Eco Strategy)팀],경기  성남시 분당구,경력 2~5년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OFUyTldnQVBFV3oxTmkyYXV1SWx3Zz09
(주)데브툴즈,백엔드 개발자,경기전체,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=L2IvYWpxSFNVSEd5YnIydkcwSENTUT09
지니언스(주),지니언스(주) 개발자 모집,경기  안양시 동안구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cCtDU1B0ZDYxcVJjWkRPdXdXWTA2UT09
(주)라바웨이브,[서울/용인] 각 부문 경력사원 채용,경기  용인시 처인구,경력,고졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=R1lUMUd0SVhNUkpIR2dEekR4UTU4QT09
(주)드림어스컴퍼니,[뮤직플랫폼FLO] Cloud Engineer(DevOps),서울  서초구,경력 3~15년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWE0akhvM1BSRWtHS2t6c0V4TlpEUT09
롯데헬스케어(주),서비스 백엔드 엔지니어,서울전체,경력 2~6년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OUlqSFBLSlAyeFIrTk5SM0oxTnhhZz09
(주)미디움,[기술본부] 블록체인 체인코드 개발자 모집,서울  강남구,경력 3~10년,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=UkpGWXZjb3ZKYjhYbTFWclY0S0Iwdz09
오케스트로(주),Opensource Community Developer,서울전체,경력 3~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=OW9kdVd4QjNNeVowRWtxM29XN1IyZz09
(주)모니터랩,보안 솔루션 및 플랫폼 개발자 채용,서울전체,신입·경력,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=cVlDKzhHRzZ1NnJhN2R3bWU2c25NZz09
(주)엔디소프트,[NDSOFT] 23년도 상반기 개발자 채용(부산근무),부산  해운대구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NFQrYk5na044QzNkWDFSYXE4SWIxdz09
엔큐리티(주),기술연구소) 보안솔루션 개발자 채용 (경력/신입),경기  성남시 분당구,경력무관,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=THV0ayswYzBrdzlzcFhXaldpMDl6Zz09
(주)엔디소프트,[NDSOFT] 23년도 상반기 부문별 채용(부산근무),부산  해운대구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NFQrYk5na044QzNkWDFSYXE4SWIxdz09
(주)미디움,[기술본부] 인터체인(브릿지) 개발자 모집,서울  강남구,경력 3~10년,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=UkpGWXZjb3ZKYjhYbTFWclY0S0Iwdz09
(주)이노그리드,[이노그리드] R&D개발센터 DevOps팀 경력 채용,서울  중구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=VjduWE5acGpoQjNxZFFmN2JrODZIdz09
(주)크립티드,플랫폼 개발실 부문별 정규사원 모집,서울  강남구,경력무관,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=MW5zMEZBaWFWaVMzQnVxZ2FrQTJ4Zz09
콘텐츠웨이브(주),[Tech] 웹 UI 개발자,서울전체,경력 3~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RDhhN2NwWTRmaHpHdFhlOWxvR0V3UT09
(주)이노그리드,개방형 클라우드 플랫폼 개발 및 기술지원 경력 채용,서울  중구,신입·경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=VjduWE5acGpoQjNxZFFmN2JrODZIdz09
(주)교보문고,[경력] Database 관리 경력사원 모집,서울  마포구,경력3년↑,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=TDdQY3Y0NVZVZnJ6Mkx0dTA4QU5OQT09
(주)넥슨,[인텔리전스랩스] 거래플랫폼팀 백엔드 개발자 (Java),경기  성남시 분당구,경력4년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=eFN2TGwybFErZHBza0Nkb09ld1B6UT09
(주)루닛,Backend/Application Engineer · Lunit INSIGHT,서울  강남구,경력 5~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=SkxmMDhCRk9vRHIvRUgxenE2SWo1dz09
(주)아이비즈소프트웨어,[경력] IT 개발자 및 블록체인 부문 별 채용공고,서울  영등포구,경력,고졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=OGFTWlBmTCtqRTAzZnpQRXRHbFVsdz09
(주)더블미디어,백엔드 개발자 모집,서울전체,경력 2~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=T1MrRzlIMG1ROUNqUFlwRjdtekh1QT09
라온피플(주),[전산팀] DevOps / 정보보호 담당자 모집,경기  성남시 분당구,경력1년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=VVpETU4vMi84QzlTL1FGYnFsUGVoUT09
콘텐츠웨이브(주),[Tech] DBA(데이터베이스 관리자),서울전체,경력 3~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RDhhN2NwWTRmaHpHdFhlOWxvR0V3UT09
(주)소만사,보안위협 END해주실 엔드포인트 Java 개발자 모십니다.,서울  영등포구,경력무관,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=MUR3Qmd0Zk9zcHJoNXBFNGNaaUpvQT09
(주)시큐리티넷,"Web  / Flutter / DBA / Server 개발자 신규, 경력 채용",서울  영등포구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=TkxVV3pQTzNxMERzM01hb3ZyRHhQUT09
가온브로드밴드(주),Back-end 개발자 채용,경기전체,경력 2~10년,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=RjZYZWZQNXUyM1pNRXFQMEU1SVcwQT09
(주)소셜인프라테크,[신입/경력] 블록체인 개발자(Blockchain Developer),서울  강남구,경력 2~10년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=TVBsRXNTWUZ0VnlVb1I5eVNuVldPdz09
(주)다이렉트클라우드랩,백엔드 엔지니어,서울  강남구,경력 4~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RnJPdlVqaVpzVEkrVzF2NEdJc0kydz09
(주)엔디소프트,[NDSOFT] 2023년도 상반기 부문별 채용(서울근무),서울  강남구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NFQrYk5na044QzNkWDFSYXE4SWIxdz09
(주)위메이드,탈중앙화거래소 프론트엔드 개발자,경기전체,경력 3~15년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=Rkt1ejR6ZE10azN4QUJTNUJBbUxoQT09
(주)트위니,[로봇사업본부] 백엔드 개발 팀장 채용,대전  유성구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=VFBNSkFGVXRBc0k2aTB1b3p5OWUyZz09
(주)위메이드,블록체인 디파이 플랫폼 백엔드 전문 개발자,경기전체,경력 1~13년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=Rkt1ejR6ZE10azN4QUJTNUJBbUxoQT09
(주)젬백스링크,[코스닥 상장] (주)젬백스링크 AI 분야 개발자 경력직 채용,서울  영등포구,경력5년↑,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZlNDWVozbzJmaW0rK2VNd1MyZCt5QT09
(주)피타소프트,플랫폼연구소채용(경력) : SW팀 Android / iOS,경기  성남시 분당구,경력3년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=QTJNYmltVHgrNkNNOUpHc0FLK1VWZz09
슈어데이터랩(주),연구개발 채용 공고,대전  유성구,경력,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=V3RCYWwrc3JVSkd5UWJTaEFyaHptQT09
오케스트로(주),Back-end Developer (Cloud Management Platform),서울전체,경력 5~15년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=OW9kdVd4QjNNeVowRWtxM29XN1IyZz09
(주)파라메타,[PARAMETA] 백엔드 엔지니어,서울  중구,경력 6~15년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=dXgzbVliNjhyTFkrbXhvbkRwYkM4dz09
(주)드림어스컴퍼니,[뮤직플랫폼FLO] Backend(Junior) 개발자,서울  서초구,경력 1~5년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWE0akhvM1BSRWtHS2t6c0V4TlpEUT09
콘텐츠웨이브(주),[Tech] 미디어 서버 개발자,서울전체,경력 6~15년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=RDhhN2NwWTRmaHpHdFhlOWxvR0V3UT09
메가존클라우드(주),Strategic Business (컨설턴트/프론트엔드 등) 채용,서울  강남구,경력,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=NWkzeDdtcWM0M0hWYW1ZRkFpWlU3dz09
(주)넥슨,[인텔리전스랩스] 부스트파트 백엔드 개발자(Python/OpenSearch),경기  성남시 분당구,경력2년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=eFN2TGwybFErZHBza0Nkb09ld1B6UT09
(주)소프트위즈,"(주)소프트위즈 웹팀 개발자(JavaScript, Go 등) 모집",서울  강남구,경력무관,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=a0xxc04yZTRYU3cyU01JcDRtTEpLQT09
(주)시야인사이트,[원주/기술연구소] 웹/솔루션 개발자 신입&경력 채용(정규직),강원  원주시,경력무관,초대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=MW14aUNYRVNKa1BScWhFamtYOVg2QT09
(주)드림어스컴퍼니,[뮤직플랫폼FLO] Backend(Senior) 개발자,서울  서초구,경력 5~15년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWE0akhvM1BSRWtHS2t6c0V4TlpEUT09
(주)데이터유니버스,[경력] 퍼블리셔 채용  - 면접비 지급,서울  영등포구,경력 3~6년,대졸↑,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmYxbk5TQUIyTmpodWxxN0FmNys0Zz09
(주)팀스톤,웹(WEB) FE 개발자 채용,서울  송파구,경력 3~10년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=bWpjNFY3Z1cxTGVaSU12VlFhbDJSdz09
(주)텐핑거스,[500만의 선택 데이트팝] 서버 / 백엔드 개발자 (주니어),서울  서초구,경력 2~5년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=S0V3aENHYjFLcDIyK1VoSDdSbG1hUT09
(주)루닛,Linux system 기술 지원,서울  강남구,경력 1~3년,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=SkxmMDhCRk9vRHIvRUgxenE2SWo1dz09
(주)피타소프트,플랫폼연구소채용(경력) : 백엔드 서버개발자 AWS,경기  성남시 분당구,경력3년↑,학력무관,https://www.saramin.co.kr/zf_user/company-info/view?csn=QTJNYmltVHgrNkNNOUpHc0FLK1VWZz09
